Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [5573] RISING RED DRAGON IMPORT EXPORT CORP.
From     : 09/07/2009 To 09/16/2009
Printed  : 09/17/2009 12:37pm AHM-AHM

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
71985979686    SEVEN STAR CHAMPAGNE SODA W         2     98.50       197.00|                                |    90.64       181.28
480651380029   SMJ CHERRIES W/ STEM                3    162.25       486.75|                                |   149.35       448.05
480651380028   SMJ CHERRIES W/O STEM               1    162.25       162.25|                                |   149.35       149.35
480651380035   TAI HING B MUSH WHOLE 48/28        31     20.25       627.75|                                |    18.54       574.74
480651380048   TAI HING B MUSH WHOLE 48/28        15     24.75       371.25|                                |    22.66       339.90
480651380059   TAI HING DRIED MUSH 50X200G         2    151.25       302.50|                                |   139.05       278.10
480651380094   TAI HING OYSTER SAUCE 295ML         6     28.00       168.00|                                |    25.75       154.50
480651380051   TAI HING PCS & STEMS 48/284         6     24.75       148.50|                                |    22.66       135.96
480651380037   TAI HING PCS & STEMS48/198G         6     18.00       108.00|                                |    16.48        98.88
480651380062   TAI HING STAR ANISE 50/100G         2     23.50        47.00|                                |    20.00        40.00
480651380023   TAI HING STRAW MUSHROOM 24/         3     29.25        87.75|                                |    26.80        80.40
480651380033   TAI HING WATER CHESTNUT 24/         3     36.00       108.00|                                |    32.96        98.88
480651380024   TAI HING WHOLE MUSHROOM 24/        13     29.25       380.25|                                |    26.78       348.14
480651380068   TAI HING WINTER BAMBOO SHOO         1     33.75        33.75|                                |    30.90        30.90
480651380044   TAIHING B.MUSHROOM WHOLE 24         3     56.00       168.00|                                |    51.50       154.50
480651380057   TAIHING BLACK FUNGOS PREM 4         2     56.00       112.00|                                |    51.50       103.00
480651380058   TAIHING BLACK FUNGOS SPECIA         6     24.75       148.50|                                |    22.66       135.96
480651380055   TAIHING CHITAKE DRIED MUSH          4    134.50       538.00|                                |   123.60       494.40
480651380060   TAIHING MUSHROOM 95% SAUCE          2     41.50        83.00|                                |    38.11        76.22
480651380095   TAIHING OYSTER SAUCE 24/520         1     47.00        47.00|                                |    43.29        43.29
480651380066   TAIHING YOUNG CORN(WHOLE)24         3     25.75        77.25|                                |    23.69        71.07
955514430010   TEAN'S CHICKEN CURRY PASTE          1     63.75        63.75|                                |    58.71        58.71
955514430002   TEAN'S CRISPY PRAWN CHILLI          1    112.00       112.00|                                |   103.00       103.00
955514430012   TEAN'S CURRY LAKSA PASTE 12         1     63.75        63.75|                                |    58.71        58.71
692484480133   TONGFA MIXED MUSHROOMS 550G         1     61.75        61.75|                                |    56.65        56.65
471006313314   WEICHUAN PICKLED CUCUMBER 4         1     37.00        37.00|                                |    33.99        33.99
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->            558.00              17,672.79|     0.00                   0.00|             16,165.38
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
