Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2400228        #2012-3 CURLERS                     3     36.00       108.00|                                |    24.75        74.25
2400228        #2012-3 CURLERS                     2     42.00        84.00|        2     33.60        67.20|    29.25        58.50
2401000        #2012-4 CURLERS                     1     36.00        36.00|        1     32.40        32.40|    24.75        24.75
2401000        #2012-4 CURLERS                     5     36.00       180.00|                                |    24.75       123.75
2401020        #2020 MIRROR                        1     24.00        24.00|        1     21.60        21.60|    16.50        16.50
2401020        #2020 MIRROR                        1     24.00        24.00|                                |    16.50        16.50
2402455        #2044 TISSING COMB                  6     25.00       150.00|        6     22.50       135.00|    17.25       103.50
2402455        #2044 TISSING COMB                  7     25.00       175.00|                                |    17.25       120.75
2402453        #2052 MENS COMB                     2     38.00        76.00|        2     30.40        60.80|    26.25        52.50
2402453        #2052 MENS COMB                     2     38.00        76.00|        2     34.20        68.40|    26.25        52.50
2402453        #2052 MENS COMB                     2     38.00        76.00|                                |    26.25        52.50
2403642        #2067 HAIR BRUSH                    1     64.00        64.00|        1     57.60        57.60|    44.25        44.25
2403642        #2067 HAIR BRUSH                    1     71.00        71.00|        1     63.90        63.90|    49.50        49.50
2403639        #2070-2 GOLDWAVE ROD                2     35.00        70.00|        2     31.50        63.00|    24.00        48.00
2403408        #2088 ST. BRUSH COMB. & MIR         1    107.00       107.00|        1     96.30        96.30|    74.25        74.25
2403682        #2102 MIRROR                        1    101.00       101.00|        1     80.80        80.80|    70.50        70.50
2403686        #2103 COMB                          2     62.00       124.00|                                |    42.75        85.50
2403688        #2104 COMB                          2     35.00        70.00|        2     29.75        59.50|    24.00        48.00
2403688        #2104 COMB                          6     35.00       210.00|        6     31.50       189.00|    24.00       144.00
2403688        #2104 COMB                          5     35.00       175.00|                                |    24.00       120.00
2403688        #2104 COMB                          1     39.00        39.00|                                |    27.00        27.00
2403683        #2105 COMBS                         4     36.00       144.00|        4     32.40       129.60|    24.75        99.00
2403683        #2105 COMBS                         3     36.00       108.00|                                |    24.75        74.25
2403687        #2106 COMB                          3     19.00        57.00|        3     17.10        51.30|    12.75        38.25
2403687        #2106 COMB                          5     19.00        95.00|                                |    12.75        63.75
2403685        #2107 COMBS                         2     48.00        96.00|        2     38.40        76.80|    33.00        66.00
2403685        #2107 COMBS                         5     48.00       240.00|        5     43.20       216.00|    33.00       165.00
2403685        #2107 COMBS                        10     48.00       480.00|                                |    33.00       330.00
2403690        #2108 COMB                          1     28.00        28.00|        1     23.80        23.80|    19.50        19.50
2403690        #2108 COMB                          7     28.00       196.00|        7     25.20       176.40|    19.50       136.50
2403690        #2108 COMB                          9     28.00       252.00|                                |    19.50       175.50
2403386        #681A PAGANINI H. BR                2     64.00       128.00|        2     57.60       115.20|    44.25        88.50
2403386        #681A PAGANINI H. BR                2     64.00       128.00|                                |    44.25        88.50
2401894        #8013 R. BRUSH                      1     34.00        34.00|        1     30.60        30.60|    23.25        23.25


Lopues East Center                                                                      Page: 3
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [6110] JOYTIS TRADIN
From     : 08/30/2008 To 11/21/2008
Printed  : 11/22/2008 10:42am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
2403628        #9019 HAIR BRUSH                    4     55.00       220.00|                                |    38.25       153.00
2403417        #9029 COMB                          1     55.00        55.00|        1     44.00        44.00|    38.25        38.25
