Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [4981] SEMIGI TRADING
From     : 10/01/2009 To 10/05/2009
Printed  : 10/06/2009 7:24pm AHM-AHM

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
480036134331   NESTLE MANGO 1.7L                   4    197.00       788.00|                                |   179.09       716.36
480036135549   NESTLE POPS CUP 12/62ML            57     29.00     1,653.00|                                |    26.35     1,501.95
480036134335   NESTLE S/BERRY1.7L                  6    197.00     1,182.00|                                |   179.09     1,074.54
480036134333   NESTLE S/MOCHA 1.7L                 6    197.00     1,182.00|                                |   179.09     1,074.54
480036136645   NESTLE SORBITES KESO N1.2L         41    100.00     4,100.00|                                |    90.91     3,727.31
480036136644   NESTLE SORBITES UBE 1.2L           25    100.00     2,500.00|                                |    90.91     2,272.75
480036134329   NESTLE VANILLA 1.7L                12    197.00     2,364.00|                                |   179.09     2,149.08
480036134632   NESTLE VANILLA 3.4L                 3    375.00     1,125.00|                                |   340.91     1,022.73
480036136489   PINIPIG MANGO CONDENSADA 80        69     14.00       966.00|                                |    11.36       783.84
480036136706   POPS WHT 62ML/12                   22     29.00       638.00|                                |    23.53       517.66
4804165        SORBITES CUPS KESO  70ML/28        22     12.00       264.00|                                |     9.74       214.28
4804166        SORBITES T/PEANUT CUP 70ML/         2     12.00        24.00|                                |     9.74        19.48
480036136610   TIRO SUP.LOADED D.STICK 1.7         3    235.00       705.00|                                |   213.64       640.92
480036134231   TRIO UBE,MANGO,CHOCHOLATE          10     95.00       950.00|                                |    86.36       863.60
480036134303   TRIO W/TAPPINGS UBE,MANGO,C         7    299.00     2,093.00|                                |   250.81     1,755.67
480036134493   TWIN POPS CHOCOLATE 75MLX24       108     11.00     1,188.00|                                |    10.00     1,080.00
480036134495   TWIN POPS ORANGE 75MLX24          136     11.00     1,496.00|                                |    10.00     1,360.00
4804101        XCLASSIC CUP CHOCO 10MLX18         28     16.00       448.00|                                |    14.54       407.12
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->          1,319.00              63,209.00|     0.00                   0.00|             55,903.01
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
