<small3>
Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
17             BLUE MOUNTAIN CARDS               657      0.50    19,352.56|        2     29.50        59.00|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     32.50        32.50|        1     26.00        26.00|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 5     32.50       162.50|        5     27.63       138.25|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 2     32.50        65.00|        2     29.25        58.50|     0.00         0.00
17             BLUE MOUNTAIN CARDS                10     32.50       325.00|                                |     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     34.50        34.50|        1     24.50        24.50|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     34.50        34.50|        1     31.05        31.05|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     35.00        35.00|        1     29.75        29.75|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 2     35.00        70.00|        2     31.50        63.00|     0.00         0.00
17             BLUE MOUNTAIN CARDS                11     35.00       385.00|                                |     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     36.50        36.50|        1     26.50        26.50|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 2     36.50        73.00|        2     31.03        62.10|     0.00         0.00
17             BLUE MOUNTAIN CARDS                 1     36.50        36.50|        1     32.85        32.85|     0.00         0.00
14             BOOKS(GIBSON)                      76     60.00     4,560.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     63.75        63.75|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2     65.00       130.00|        2     55.25       110.50|     0.00         0.00
14             BOOKS(GIBSON)                       3     65.00       195.00|        3     58.50       175.50|     0.00         0.00
14             BOOKS(GIBSON)                      15     65.00       975.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      13     70.00       910.00|       13     59.50       773.50|     0.00         0.00
14             BOOKS(GIBSON)                       5     70.00       350.00|        5     63.00       315.00|     0.00         0.00
14             BOOKS(GIBSON)                      18     70.00     1,260.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     72.00        72.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     72.25        72.25|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     75.00        75.00|        1     63.75        63.75|     0.00         0.00
14             BOOKS(GIBSON)                       2     75.00       150.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      40     80.00     3,200.00|       40     68.00     2,720.00|     0.00         0.00
14             BOOKS(GIBSON)                      22     80.00     1,760.00|       22     72.00     1,584.00|     0.00         0.00
14             BOOKS(GIBSON)                      44     80.00     3,520.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     83.00        83.00|        1     70.55        70.55|     0.00         0.00
14             BOOKS(GIBSON)                       1     84.00        84.00|        1     75.60        75.60|     0.00         0.00
14             BOOKS(GIBSON)                       5     84.00       420.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     85.00        85.00|        1     40.00        40.00|     0.00         0.00
14             BOOKS(GIBSON)                     101     85.00     8,585.00|      101     72.25     7,297.25|     0.00         0.00
14             BOOKS(GIBSON)                      97     85.00     8,245.00|       97     76.50     7,420.50|     0.00         0.00
14             BOOKS(GIBSON)                     271     85.00    23,035.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     89.00        89.00|                                |     0.00         0.00
<eject>Lopues East Center                                                                      Page: 3
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
14             BOOKS(GIBSON)                       4     90.00       360.00|        4     76.50       306.00|     0.00         0.00
14             BOOKS(GIBSON)                       5     90.00       450.00|        5     81.00       405.00|     0.00         0.00
14             BOOKS(GIBSON)                       9     90.00       810.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       8     95.00       760.00|        8     80.75       646.00|     0.00         0.00
14             BOOKS(GIBSON)                       1     95.00        95.00|        1     85.00        85.00|     0.00         0.00
14             BOOKS(GIBSON)                       3     95.00       285.00|        3     85.50       256.50|     0.00         0.00
14             BOOKS(GIBSON)                      15     95.00     1,425.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1     98.00        98.00|        1     90.00        90.00|     0.00         0.00
14             BOOKS(GIBSON)                      18     99.00     1,782.00|       18     84.15     1,514.70|     0.00         0.00
14             BOOKS(GIBSON)                      13     99.00     1,287.00|       13     89.10     1,158.30|     0.00         0.00
14             BOOKS(GIBSON)                      34     99.00     3,366.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      25    100.00     2,500.00|       25     85.00     2,125.00|     0.00         0.00
14             BOOKS(GIBSON)                      20    100.00     2,000.00|       20     90.00     1,800.00|     0.00         0.00
14             BOOKS(GIBSON)                      56    100.00     5,600.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       4    105.00       420.00|        4     89.25       357.00|     0.00         0.00
14             BOOKS(GIBSON)                       6    105.00       630.00|        6     94.50       567.00|     0.00         0.00
14             BOOKS(GIBSON)                       5    105.00       525.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    110.00       110.00|        1     93.50        93.50|     0.00         0.00
14             BOOKS(GIBSON)                       1    110.00       110.00|        1    100.00       100.00|     0.00         0.00
14             BOOKS(GIBSON)                       2    115.00       230.00|        2     97.75       195.50|     0.00         0.00
14             BOOKS(GIBSON)                      72    120.00     8,640.00|       72    102.00     7,344.00|     0.00         0.00
14             BOOKS(GIBSON)                      47    120.00     5,640.00|       47    108.00     5,076.00|     0.00         0.00
14             BOOKS(GIBSON)                     150    120.00    18,000.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      10    125.00     1,250.00|       10    106.25     1,062.50|     0.00         0.00
14             BOOKS(GIBSON)                      16    125.00     2,000.00|       16    112.50     1,800.00|     0.00         0.00
14             BOOKS(GIBSON)                      37    125.00     4,625.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    126.00       126.00|        1    107.10       107.10|     0.00         0.00
14             BOOKS(GIBSON)                       1    126.00       126.00|        1    113.40       113.40|     0.00         0.00
14             BOOKS(GIBSON)                       3    129.00       387.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      13    140.00     1,820.00|       13    119.00     1,547.00|     0.00         0.00
14             BOOKS(GIBSON)                      18    140.00     2,520.00|       18    126.00     2,268.00|     0.00         0.00
14             BOOKS(GIBSON)                      42    140.00     5,880.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       3    145.00       435.00|        3    123.25       369.75|     0.00         0.00
14             BOOKS(GIBSON)                       2    145.00       290.00|        2    130.50       261.00|     0.00         0.00
14             BOOKS(GIBSON)                       6    145.00       870.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2    149.00       298.00|        2    126.65       253.30|     0.00         0.00
14             BOOKS(GIBSON)                       8    149.00     1,192.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                      12    150.00     1,800.00|       12    127.50     1,530.00|     0.00         0.00
14             BOOKS(GIBSON)                      10    150.00     1,500.00|       10    135.00     1,350.00|     0.00         0.00
14             BOOKS(GIBSON)                      25    150.00     3,750.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       2    153.00       306.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       1    155.00       155.00|        1    139.50       139.50|     0.00         0.00
14             BOOKS(GIBSON)                       4    155.00       620.00|                                |     0.00         0.00
14             BOOKS(GIBSON)                       4    175.00       700.00|        4    148.75       595.00|     0.00         0.00
14             BOOKS(GIBSON)                       4    175.00       700.00|        4    157.50       630.00|     0.00         0.00
14             BOOKS(GIBSON)                      11    175.00     1,925.00|                                |     0.00         0.00
<eject>Lopues East Center                                                                      Page: 4
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [2979] MAIN PACIFIC FEATURES INC
From     : 01/01/2009 To 10/13/2009
Printed  : 10/14/2009 11:29am NEMIA

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
