Lopues East Center                                                                      Page: 1
Villamonte, Bacolod City

SALES BY STOCK ITEM
Supplier : [4981] SEMIGI TRADING
From     : 10/02/2008 To 10/21/2008
Printed  : 10/21/2008 5:31pm ruby

-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
                                           TotalQty   Regular  Amount Sold | Promo      Promo    Total Promo|              Total
Barcode           Item Description           Sold     Price    (RegularPrc)|  Sold      Price       Sales   |   Cost       Cost 
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
480036134327   NESTLE CHOCOLATE 1.9               12    197.00     2,364.00|                                |   179.09     2,149.08
480036134631   NESTLE CHOCOLATE 3.4L               6    375.00     2,250.00|                                |   340.91     2,045.46
480036134337   NESTLE CLCS.UBE 1.9L               19    197.00     3,743.00|                                |   179.09     3,402.71
480036134630   NESTLE CLSC.UBE 3.8L                5    375.00     1,875.00|                                |   340.91     1,704.55
480036134627   NESTLE F/SALAD 1.7L                13    225.00     2,925.00|                                |   204.55     2,659.15
480036134624   NESTLE F/SALAD 3.4L                13    399.00     5,187.00|                                |   362.73     4,715.49
480036134620   NESTLE H/HALO F.1.9L                8    225.00     1,800.00|                                |   204.55     1,636.40
480036134637   NESTLE H/HALO F.3.8L                8    399.00     3,192.00|                                |   362.73     2,901.84
480036134331   NESTLE MANGO 1.7L                  17    197.00     3,349.00|                                |   179.09     3,044.53
480036134310   NESTLE MANGO 3.8L                   7    375.00     2,625.00|                                |   340.91     2,386.37
480036134621   NESTLE R/ROAD 3.8L                  2    399.00       798.00|                                |   362.73       725.46
480036134335   NESTLE S/BERRY1.7L                 16    197.00     3,152.00|                                |   179.09     2,865.44
480036134633   NESTLE S/BERRY3.4L                  3    375.00     1,125.00|                                |   340.91     1,022.73
480036134333   NESTLE S/MOCHA 1.7L                10    197.00     1,970.00|                                |   179.09     1,790.90
480036134329   NESTLE VANILLA 1.7L                52    197.00    10,244.00|                                |   179.09     9,312.68
480036134632   NESTLE VANILLA 3.4L                11    375.00     4,125.00|                                |   340.91     3,750.01
480036135866   PINIPIG BANANA CARAMEL 84ML         3     14.00        42.00|                                |    12.73        38.19
480036136092   PINIPIG CHOCOLATE LOADED 20        59     14.00       826.00|                                |    12.73       751.07
480036134485   PINIPIG VANILLA 70MLX24           216     14.00     3,024.00|                                |    12.73     2,749.68
480036136143   PINIPIG VANILLA LOADED 80ML        41     14.00       574.00|                                |    12.73       521.93
480036136059   TRIO LE MANGO+SWEETCORN+CHO        10    309.00     3,090.00|                                |   280.91     2,809.10
480036136057   TRIO LE MANGO+SWEETCORN+CHO         1    159.00       159.00|                                |   144.55       144.55
480036136057   TRIO LE MANGO+SWEETCORN+CHO        28    165.00     4,620.00|                                |   150.00     4,200.00
480036134231   TRIO UBE,MANGO,CHOCHOLATE          10     89.00       890.00|                                |    80.91       809.10
480036134231   TRIO UBE,MANGO,CHOCHOLATE          41     95.00     3,895.00|                                |    86.36     3,540.76
480036134303   TRIO W/TAPPINGS UBE,MANGO,C         9    299.00     2,691.00|                                |   271.82     2,446.38
480036134303   TRIO W/TAPPINGS UBE,MANGO,C        22    309.00     6,798.00|                                |   280.91     6,180.02
480036135784   TRIO- UBE,KESO,PASTILLAS 1.        20    159.00     3,180.00|                                |   144.55     2,891.00
480036135784   TRIO- UBE,KESO,PASTILLAS 1.        18    165.00     2,970.00|                                |   150.00     2,700.00
480036135782   TRIO- UBE,KESO,PASTILLAS 75        11     89.00       979.00|                                |    80.91       890.01
480036135782   TRIO- UBE,KESO,PASTILLAS 75        24     95.00     2,280.00|                                |    86.36     2,072.64
480036134493   TWIN POPS CHOCOLATE 75MLX24       295     11.00     3,245.00|                                |    10.00     2,950.00
480036135744   TWIN POPS ICEBERG GRAPE 90M         3     12.00        36.00|                                |    10.91        32.73
480036134495   TWIN POPS ORANGE 75MLX24          374     11.00     4,114.00|                                |    10.00     3,740.00
4804101        XCLASSIC CUP CHOCOLATE 10ML       249     16.00     3,984.00|                                |    14.54     3,620.46
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
          Supplier Sub Total ---->          3,801.00             199,893.00|     0.00                   0.00|            181,718.32
-------------- --------------------------- --------- --------- ------------|--------- --------- ------------|--------- ------------
